Genus_SCI,Genus_CN
Calendulauda,锈色歌百灵
Calherodius,白背夜鹭
Calicalicus,红尾属
Calidris,滨鹬属
Caliechthrus,白顶属
Caligavis,黄脸吸蜜鸟
Callacanthis,红眉金翅雀
Callaeas,北岛垂耳鸦
Calliope,黑喉属
Callipepla,鳞斑属
Calliphlox,紫辉林星蜂鸟
Callocephalon,红冠属
Callonetta,环颈鸭
Calochaetes,朱红唐纳雀
Caloenas,尼柯巴鸠
Calonectris,白额属
Caloperdix,锈红属
Caloramphus,褐拟啄木鸟
Calothorax,瑰丽蜂鸟
Calypte,安氏蜂鸟
Calyptocichla,金绿属
Calyptomena,绿阔嘴鸟
Calyptophilus,西䳭唐纳雀
Calyptorhynchus,红尾属
Calyptura,姬伞鸟
Camarhynchus,红树林树雀
Camaroptera,灰背拱翅莺
Campephaga,黑鹃属
Campephilus,红冠颈纹啄木鸟
Campethera,红点啄木鸟
Campicoloides,黄纹属
Campochaera,橙鹃属
Campocolinus,栗顶属
Camptorhynchus,拉布拉多鸭
Camptostoma,北无须小霸鹟
Campylopterus,灰胸刀翅蜂鸟
Campylorhamphus,红嘴镰嘴䴕雀
Campylorhynchus,白头曲嘴鹪
Canachites,枞树属
Canirallus,灰喉属
Cantorchilus,纯色苇鹪
Capito,红顶拟啄木鸟
Caprimulgus,夜鹰属
Capsiempis,黄小霸鹟
Caracara,瓜达卢长腿兀鹰
Cardellina,加拿大威森莺
Cardinalis,主红雀
Carduelis,金翅属
Cariama,红腿叫鹤
Caridonax,白腰属
Carpococcyx,地鹃属
Carpodacus,朱雀属
Carpodectes,南美白伞鸟
Carpornis,冠食果伞鸟
Carpospiza,淡色石雀
Carterornis,白耳王鹟
Caryothraustes,黑脸厚嘴雀
Casiornis,棕卡西霸鹟
Cassiculus,黄翅酋长鹂
Castanozoster,桂胸属
Casuarius,双垂鹤
Catamblyrhynchus,绒顶唐纳雀
Catamenia,斑尾栗臀雀
Catharopeza,啸森莺
Cathartes,红头属
Catharus,斑夜鸫
Catherpes,墨西哥鹪
Catreus,彩雉
Catriscus,扇尾芦莺
Ceblepyris,马岛属
Cecropis,大纹燕
Celebesica,姬鹃属
Celeus,桂红啄木鸟
Centrocercus,艾草属
Centronyx,贝氏属
Centropus,鸦鹃属
Cephalopterus,裸颈伞鸟
Cephalopyrus,火冠雀属
Cepphus,白翅属
Ceratogymna,黑盔噪犀鸟
Ceratopipra,红角娇鹟
Cercibis,长尾属
Cercococcyx,暗色属
Cercomacra,马努蚁鸟
Cercomacroides,威氏蚁鸟
Cercotrichas,沙薮属
Cereopsis,澳洲灰雁
Cerorhinca,角嘴海雀属
Certhia,旋木雀属
Certhiasomus,斑喉䴕雀
Certhiaxis,黄颏针尾雀
Certhidea,莺雀
Certhilauda,短爪歌百灵
Certhionyx,白肩黑吸蜜鸟
Ceryle,鱼狗属
Cettia,树莺属
Ceuthmochares,黄嘴属
Ceyx,三趾翠鸟属
Chaetocercus,白腹林蜂鸟
Chaetops,棕岩鸫
Chaetoptila,鬓吸蜜鸟
Chaetorhynchus,须嘴扇尾鹟
Chaetura,淡腰雨燕
Chalcites,小长属
Chalcomitra,黄喉花蜜鸟
Chalcoparia,紫颊直嘴太阳鸟
Chalcophaps,金鸠属
Chalcopsitta,黄额属
Chalcostigma,铜尾尖嘴蜂鸟
Chalcothraupis,金颈靓唐纳雀
Chalybura,斑胸棕尾蜂鸟
Chamaea,鹪雀
Chamaepetes,黑镰翅冠雉
Chamaetylas,红喉鸲鸫
Chamaeza,短尾蚁鸫
Charadrius,鸻属
Charitospiza,煤冠雀
Charminetta,威氏属
Charmosyna,约氏属
Charmosynoides,贵妃属
Charmosynopsis,蓝额属
Chasiempis,考岛蚋鹟
Chauna,黑颈冠叫鸭
Chelictinia,剪尾属
Chelidoptera,燕翅属
Chelidorhynx,黄腹扇尾鹟
Chenonetta,鬃林鸭
Chenorhamphus,阔嘴细尾鹩莺
Cheramoeca,白背燕
Chersomanes,比氏直爪百灵
Chersophilus,杜氏百灵
Chionis,白鞘属
Chionomesa,辉喉蜂鸟
Chiroxiphia,玻利维亚娇鹟
Chlamydera,西大亭鸟
Chlamydochaera,食果鸫
Chlamydotis,非洲属
Chlidonias,浮鸥属
Chloebia,七彩文鸟
Chloephaga,黑翅草雁
Chlorestes,白腹绿蜂鸟
Chloridops,科纳松雀
Chloris,欧金翅雀
Chloroceryle,亚马属
Chlorochrysa,辉绿雀
Chlorocichla,娇绿鸫
Chlorodrepanis,夏威夷绿雀
Chlorophanes,绿旋蜜雀
Chlorophoneus,库山属
Chlorophonia,亮丽歌雀
Chloropicus,须啄木鸟
Chloropipo,黄头绿娇鹟
Chloropsis,叶鹎属
Chlorornis,草绿唐纳雀
Chlorospingus,黄喉丛唐纳雀
Chlorostilbon,花园翠蜂鸟
Chlorothraupis,卡氏唐纳雀
Chondestes,云雀
Chondrohierax,钩嘴属
Chordeiles,纳昆达夜鹰
Chroicocephalus,细嘴属
Chrysococcyx,翠金属
Chrysocolaptes,大金背啄木鸟属
Chrysocorythus,山金丝雀
Chrysolampis,金喉红顶蜂鸟
Chrysolophus,锦鸡属
Chrysomma,鹛雀属
Chrysomus,栗顶黑鹂
Chrysophlegma,红翅绿背啄木鸟
Chrysothlypis,红白唐纳雀
Chrysuronia,辉绿蜂鸟
Chunga,黑腿叫鹤
Cichladusa,晨鸫
Cichlocolaptes,淡眉树猎雀
Cichlopsis,棕褐孤鸫
Cicinnurus,王极乐鸟
Ciconia,鹳属
Cinclidium,地鸲属
Cinclocerthia,红尾旋木嘲鸫
Cinclodes,长尾抖尾地雀
Cincloramphus,褐鹨莺
Cinclosoma,斑鹑鸫
Cinclus,河乌属
Cinnycerthia,棕鹪
Cinnyricinclus,白腹紫椋鸟
Cinnyris,绿腹花蜜鸟
Circaetus,短趾鵰属
Circus,鹞属
Ciridops,安娜黑领雀
Cissa,绿鹊属
Cissomela,带胸黑吸蜜鸟
Cissopis,鹊色唐纳雀
Cisticola,扇尾莺属
Cistothorus,北美沼泽鹪
Cittura,苏拉威西蓝耳翠鸟
Cladorhynchus,斑长属
Clamator,凤头鹃属
Clanga,印度属
Clangula,长尾鸭属
Claravis,蓝地鸠
Cleptornis,金绣眼鸟
Clibanornis,地棘雀
Climacteris,红眉短嘴旋木雀
Clytoctantes,翘嘴属
Clytomyias,棕鹩莺
Clytorhynchus,南鵙嘴鹟
Clytospiza,褐双点雀
Cnemarchus,红腰丛霸鹟
Cnemathraupis,黑胸山裸鼻雀
Cnemophilus,黑短嘴极乐鸟
Cnemoscopus,灰头薮唐纳雀
Cnemotriccus,暗褐霸鹟
Cnipodectes,褐霸鹟
Coccopygia,黄腹梅花雀
Coccothraustes,锡嘴属
Coccycua,小棕属
Coccyzus,暗嘴属
Cochlearius,船嘴鹭
Cochoa,宽嘴鸫属
Coeligena,铜色星额蜂鸟
Coenocorypha,北岛属
Coereba,曲嘴森莺
Colaptes,高原啄木鸟
Colibri,褐紫耳蜂鸟
Colinus,山齿属
Colius,斑鼠鸟
Collocalia,毛趾金丝燕
Colluricincla,纹胸鵙鹟
Coloeus,寒鸦
Colonia,长尾霸鹟
Colorhamphus,巴塔唧霸鹟
Columba,鸽属
Columbina,印加地鸠
Compsothraupis,朱喉唐纳雀
Conioptilon,黑脸伞鸟
Conirostrum,丝胸锥嘴雀
Conopias,白环蚊霸鹟
Conopophaga,棕食蚊鸟
Conopophila,棕斑蚊蜜鸟
Conostoma,红嘴鸦雀属
Conothraupis,黑白唐纳雀
Contopus,绿胁绿霸鹟
Conuropsis,卡罗属
Copsychus,鹊鸲属
Coracias,佛法僧属
Coracina,鹃鵙属
Coracopsis,马岛属
Coracornis,栗背啸鹟
Coragyps,黑头属
Corapipo,白喉娇鹟
Corcorax,白翅澳鸦
Cormobates,白喉短嘴旋木雀
Corthylio,红冠属
Corvus,鸦属
Corydon,暗色阔嘴鸟
Corypha,振翅歌百灵
Coryphaspiza,花脸雀
Coryphistera,拟鹨灌丛雀
Coryphospingus,红顶雀
Corythaeola,蓝蕉属
Corythopis,环蚁鹨
Corythornis,马岛小翠鸟
Coscoroba,扁嘴属
Cossypha,白顶属
Cossyphicula,白腹属
Cotinga,斑喉伞鸟
Coturnicops,花田属
Coturnix,鹌鹑属
Coua,白胸属
Cracticus,灰钟鹊
Cranioleuca,锈背软尾雀
Crax,大凤冠雉
Creagrus,燕尾属
Creatophora,肉垂椋鸟
Crecopsis,非洲属
Creurgops,棕冠唐纳雀
Crex,长脚秧鸡属
Crinifer,棕脸属
Criniger,西须属
Crithagra,普林丝雀
Crossleyia,黄眉马岛莺
Crossoptilon,马鸡属
Crotophaga,大犀属
Crypsirina,盘尾树鹊
Cryptillas,维氏短翅莺
Cryptoleucopteryx,铅色属
Cryptolybia,非洲绿拟啄木鸟
Cryptomicroeca,黄腹鸲鹟
Cryptopezus,斑胸蚁鸫
Cryptophaps,苏拉威西乌鸠
Cryptopipo,乔科娇鹟
Cryptospiza,谢氏朱翅雀
Cryptosylvicola,隐马岛莺
Crypturellus,穴䳍属
Cuculus,杜鹃属
Culicicapa,方尾鹟属
Culicivora,尖尾霸鹟
Curaeus,南美黑鹂
Curruca,横斑林莺
Cursorius,印度属
Cutia,姬鹛属
Cyanerpes,紫旋蜜雀
Cyanicterus,蓝背唐纳雀
Cyanistes,非洲青山雀
Cyanochen,蓝翅雁
Cyanocitta,冠蓝鸦
Cyanocompsa,蓝彩属
Cyanocorax,黑喉鹊鸦
Cyanoderma,金头穗鹛
Cyanograucalus,蓝鹃属
