Genus_SCI,Genus_CN
Pseudelaenia,灰白小霸鹟
Pseudeos,烟色属
Pseudhirundo,灰腰燕
Pseudibis,黑鹮属
Pseudobias,瓦氏鹟
Pseudobulweria,大圣赫勒拿岛海燕
Pseudocalyptomena,非洲绿阔嘴鸟
Pseudochelidon,非洲河燕
Pseudocolaptes,黄簇颊灶鸫
Pseudocolopteryx,南美多拉霸鹟
Pseudoleistes,褐黄沼泽雀
Pseudonestor,毛岛鹦嘴雀
Pseudonigrita,灰头群织雀
Pseudopipra,白冠娇鹟
Pseudopodoces,拟地鸦属
Pseudorectes,斑胸林鵙鹟
Pseudosaltator,棕腹舞雀
Pseudoseisura,棕巨灶鸫
Pseudospingus,黑头拟雀
Pseudotriccus,铜绿侏霸鹟
Psilopogon,火簇拟啄木鸟
Psilopsiagon,灰顶属
Psilorhamphus,斑竹鹩
Psiloscops,美洲属
Psittacara,绿鹦属
Psittacella,布氏属
Psittacula,鹦鹉属
Psittaculirostris,德氏属
Psittacus,非洲属
Psitteuteles,丽色属
Psittinus,蓝腰属
Psittirostra,鹦嘴管舌雀
Psittrichas,彼氏属
Psophia,灰翅喇叭声鹤
Psophodes,绿啸冠鸫
Pteridophora,萨克森极乐鸟
Pternistis,哈氏属
Pterocles,沙鸡属
Pterodroma,圆尾鹱属
Pteroglossus,橘黄巨嘴鸟
Pteronetta,黑头属
Pterophanes,蓝翅大蜂鸟
Pteroptochos,栗喉隐窜鸟
Pterorhinus,灰胸噪鹛
Pteruthius,鵙鹛属
Ptilinopus,果鸠属
Ptiliogonys,灰丝鹟
Ptilocichla,条纹地鹛
Ptilonorhynchus,缎蓝园丁鸟
Ptilopachus,石鹑属
Ptiloprora,铅色嗜蜜鸟
Ptilopsis,白脸属
Ptiloris,大掩鼻风鸟
Ptilorrhoa,斑丽鸫
Ptilostomus,须嘴鸦
Ptilotula,淡黄吸蜜鸟
Ptiloxena,古巴黑鹂
Ptychoramphus,海雀
Ptyonoprogne,岩燕属
Pucrasia,勺鸡属
Puffinus,黑鹱属
Pulsatrix,眼镜属
Purnella,白额澳蜜鸟
Purpureicephalus,红顶属
Pycnonotus,鹎属
Pycnoptilus,随莺
Pycnopygius,绿褐吸蜜鸟
Pygarrhichas,白喉爬树雀
Pygiptila,点翅属
Pygochelidon,蓝白南美燕
Pygoscelis,企鹅属
Pyrenestes,小裂籽雀
Pyrgilauda,阿富汗雪雀
Pyriglena,西白背红眼蚁鸟
Pyrilia,褐冠属
Pyrocephalus,猩红霸鹟
Pyroderus,红领果伞鸟
Pyrope,红眼蒙霸鹟
Pyrrhocorax,山鸦属
Pyrrholaemus,红喉刺莺
Pyrrhomyias,桂红霸鹟
Pyrrhoplectes,黑雀属
Pyrrhula,灰雀属
Pyrrhura,蓝喉属
Pytilia,绿翅斑腹雀
Quelea,绯红奎利亚雀
Querula,紫喉果伞鸟
Quiscalus,拟八属
Quoyornis,白胸歌鸲鹟
Radinopsyche,卡廷加蚁鹩
Radjah,白腹麻鸭
Rallicula,栗秧属
Rallina,斑秧鸡属
Rallus,秧鸡属
Ramosomyia,紫冠蜂鸟
Ramphastos,巨嘴鸟
Ramphocaenus,噪蚋莺
Ramphocelus,绯领厚嘴唐纳雀
Ramphocinclus,白胸嘲鸫
Ramphocoris,厚嘴百灵
Ramphodon,锯嘴蜂鸟
Ramphomicron,黑背刺嘴蜂鸟
Ramphotrigon,大头扁嘴霸鹟
Ramsayornis,斑胸胶蜜鸟
Randia,绣眼马岛莺
Raphus,渡渡鸟
Rauenia,橙腹裸鼻雀
Recurvirostra,反嘴鹬属
Regulus,戴菊属
Reinwardtoena,赤灰长尾鸠
Remiz,攀雀属
Rhabdornis,纹胁旋椋鸟
Rhabdotorrhinus,红头犀鸟
Rhagologus,斑啸鹟
Rhamphocharis,厚嘴啄果鸟
Rhamphococcyx,火红属
Rhaphidura,银腰针尾雨燕
Rhea,大美洲鸵
Rhegmatorhina,裸眼蚁鸟
Rheinardia,冠眼斑雉
Rhinocrypta,冠窜鸟
Rhinoplax,盔犀鸟
Rhinopomastus,黑弯属
Rhinoptilus,双领属
Rhinortha,棕胸属
Rhipidura,扇尾鹟属
Rhizothera,长嘴属
Rhodacanthis,黄头拟管舌鸟
Rhodinocichla,鸫唐纳雀
Rhodonessa,粉头鸭
Rhodopechys,沙雀属
Rhodopis,绿洲蜂鸟
Rhodospingus,红胸雀
Rhodospiza,巨嘴沙雀
Rhodostethia,楔尾鸥属
Rhopias,星喉蚁鹩
Rhopophilus,山鹛属
Rhopornis,纤蚁鸟
Rhopospina,黑岭雀
Rhynchocyclus,太平洋扁嘴霸鹟
Rhynchophanes,麦氏属
Rhynchopsitta,厚嘴属
Rhynchortyx,茶脸属
Rhynchospiza,通贝斯猛雀
Rhynchostruthus,金翅锡嘴雀
Rhynchotus,擬䳍属
Rhynochetos,鹭鹤
Rhyticeros,蓝喉皱盔犀鸟
Rhytipterna,灰悲霸鹟
Riccordia,古巴翠蜂鸟
Ridgwayia,阿兹特克地鸫
Rigidipenna,所罗门蛙口夜鹰
Riparia,沙燕属
Rissa,三趾鸥属
Robsonius,锈脸地莺
Rollandia,白簇属
Rollulus,冕鹧属
Roraimia,红斑尾雀
Rostratula,彩鹬属
Rostrhamus,食螺属
Rougetius,鲁氏属
Rowettia,高夫岛雀
Rubigula,黑冠属
Rufirallus,棕脸属
Rukia,特鲁绣眼鸟
Rupicola,安第斯冠伞鸟
Rupornis,阔嘴属
Rynchops,剪嘴鸥属
Sagittarius,鹭鹰
Sakesphoroides,银颊属
Sakesphorus,黑冠属
Salpinctes,岩鹪
Salpornis,斑旋木雀
Saltator,白眉舞雀
Saltatricula,彩雀
Salvadorina,花纹鸭
Sapayoa,阔嘴霸鹟
Sappho,红尾彗星蜂鸟
Sarcogyps,黑兀鹫属
Sarcophanops,米岛阔嘴鸟
Sarcops,秃椋鸟
Sarcoramphus,王鹫属
Sarkidiornis,瘤鸭属
Saroglossa,斑翅椋鸟
Sarothrura,白斑属
Sasia,棕啄木鸟属
Satrapa,黄眉霸鹟
Saucerottia,红嘴蜂鸟
Saudareos,红喉属
Saundersilarus,黑嘴属
Saxicola,石䳭属
Sayornis,灰胸长尾霸鹟
Scelorchilus,白喉窜鸟
Scenopoeetes,齿嘴园丁鸟
Scepomycter,莫氏莺
Schetba,棕钩属
Schiffornis,大希夫霸鹟
Schistes,白喉楔嘴蜂鸟
Schistochlamys,黑脸唐纳雀
Schistolais,白颏山鹪莺
Schoenicola,阔尾芦莺
Schoeniophylax,霍托针尾雀
Schoeniparus,黄喉雀
Schoutedenapus,珍雨燕
Sciaphylax,南栗尾蚁鸟
Scissirostrum,雀嘴属
Sclateria,银色蚁鸟
Scleroptila,环颈属
Sclerurus,茶喉硬尾雀
Scolopax,丘鹬属
Scopus,锤头属
Scotocerca,纹鹪莺
Scotopelia,横斑属
Scytalopus,湿地窜鸟
Scythrops,沟嘴属
Seiurus,橙顶灶莺
Selasphorus,星蜂鸟
Selenidera,黄耳小巨嘴鸟
Seleucidis,十二线极乐鸟
Semioptera,幡羽极乐鸟
Semnornis,厚嘴拟啄木鸟
Sephanoides,绿背火冠蜂鸟
Sericornis,褐色丝刺莺
Sericossypha,白顶唐纳雀
Sericulus,辉亭鸟
Serilophus,丝冠鸟属
Serinus,丝雀属
Serpophaga,灰姬霸鹟
Setopagis,托氏夜鹰
Setophaga,铅色林莺
Setornis,钩嘴属
Sheppardia,尤山属
Sholicola,棕胁属
Sialia,山蓝属
Sibirionetta,花脸鸭
Sicalis,柠黄雀
Sigelus,白翅斑黑鹟
Silvicultrix,冠唧霸鹟
Siphonorhis,中美夜鹰
Sipia,短尾蚁鸟
Sipodotus,华氏鹩莺
Siptornis,眼纹刺尾雀
Sirystes,西利霸鹟
Sitta,鳾属
Sittasomus,绿䴕雀
Sittiparus,杂色山雀
Smicrornis,褐阔嘴莺
Smithornis,灰头阔嘴鸟
Snowornis,灰尾伞鸟
Somateria,白眶绒鸭
Spartonoica,栗顶针尾雀
Spatula,白眉鸭
Speculanas,铜翅鸭
Speculipastor,鹊椋鸟
Spelaeornis,鹩鹛属
Spermestes,斑颊文鸟
Spermophaga,灰颊蓝嘴雀
Sphecotheres,绿裸眼鹂
Spheniscus,环企鹅属
Sphenoeacus,草莺
Sphenopsis,绿拟雀
Sphyrapicus,威氏吸汁啄木鸟
Spilopelia,珠颈斑鸠
Spiloptila,蟋蟀鹪莺
Spilornis,蛇鵰属
Spindalis,鹀唐纳雀
Spinus,藏黄雀
Spiza,美洲雀
Spizaetus,黑鹰
Spizella,棕顶雀
Spizelloides,美洲树雀
Spiziapteryx,斑翅属
Spizixos,雀嘴鹎属
Spizocorys,奥氏沙百灵
Spodiopsar,丝光椋鸟
Sporathraupis,蓝枕裸鼻雀
Sporophila,莱氏食籽雀
Sporopipes,鳞额编织雀
Stachyris,穗鹛属
Stactolaema,白耳拟啄木鸟
Stagonopleura,斑胁火尾雀
Staphida,栗冠凤鹛
Starnoenas,蓝头鹑鸠
Steatornis,油夜鹰
Stelgidillas,细嘴属
Stelgidopteryx,中北美毛翅燕
Stenostira,仙玉鹟
Stephanoaetus,非洲属
Stephanophorus,凤冠裸鼻雀
Stephanoxis,绿凤冠蜂鸟
Stercorarius,大贼鸥属
Sterna,燕鸥属
Sternoclyta,紫罗兰胸蜂鸟
Sternula,白额燕
Sterrhoptilus,棕头穗鹛
Stictonetta,澳洲斑鸭
Stigmatura,小霸鹟
Stilpnia,黑头靓唐纳雀
Stiltia,澳洲燕
Stiphrornis,橙胸属
Stipiturus,帚尾鹩莺
Stizoptera,双斑草雀
Stizorhina,芬氏蚁鸫
Stomiopera,白颊纹吸蜜鸟
Strepera,斑噪钟鹊
Streptocitta,白颈鹊椋鸟
Streptopelia,斑鸠属
Streptoprocne,费氏黑雨燕
Stresemannia,所罗门盗蜜鸟
Strigops,鸮面属
Strix,林鸮属
Struthidea,灰短嘴澳鸦
Struthio,非洲鸵鸟
Sturnella,西草地鹨
Sturnia,灰背椋鸟
Sturnornis,白脸椋鸟
Sturnus,椋鸟属
Sublegatus,北灌丛霸鹟
Sugomel,鳞顶岩吸蜜鸟
Suiriri,平原霸鹟
Sula,鲣鸟属
Surnia,猛鸮属
Surniculus,乌鹃属
Suthora,短尾鸦
Swynnertonia,斯氏属
Sylvia,莺属
Sylvietta,短尾森莺
Sylviorthorhynchus,阿根廷线尾雀
Sylviparus,林雀属
Syma,黄嘴属
Symposiachrus,黑王鹟
Synallaxis,褐颊针尾雀
Syndactyla,黄眉拾叶雀
Synoicus,褐鹌属
Synorhacma,纵纹属
Synthliboramphus,扁嘴海雀属
Sypheotides,凤头属
Syrigma,啸鹭
Syrmaticus,长尾雉属
Syrrhaptes,毛腿沙鸡属
Syrtidicola,小地霸鹟
Systellura,斑翅夜鹰
Taccocua,短嘴属
Tachornis,西印棕雨燕
Tachuris,多色苇霸鹟
Tachybaptus,小䴙䴘属
Tachycineta,双色树燕
Tachyeres,花斑船鸭
Tachymarptis,高山雨燕
Tachyphonus,暗黄顶黑唐纳雀
Tachyspiza,红腿雀鹰
Tadorna,麻鸭属
Taenioptynx,领鸺属
Taeniopygia,巽他斑胸草雀
Taeniotriccus,黑胸霸鹟
Talaphorus,绿斑蜂鸟
Talegalla,红嘴塚雉
Tangara,蓝黑靓唐纳雀
Tanygnathus,巨嘴属
Tanysiptera,普通属
Taoniscus,小䳍属
Tapera,纵纹属
Taphrolesbia,灰嘴彗星蜂鸟
Taphrospilus,点斑蜂鸟
Taraba,大蚁属
Tarphonomus,玻利维亚爬地雀
Tarsiger,鸲属
Tauraco,紫蕉属
Tchagra,褐冠属
Telacanthura,斑喉针尾雨燕
Teledromas,沙色窜鸟
Telespiza,莱岛拟管舌雀
Telophorus,四色属
Temnurus,塔尾树鹊属
Tephrodornis,钩嘴林鵙属
Tephrophilus,花脸山裸鼻雀
Tephrozosterops,双色绣眼鸟
Terathopius,短尾属
Terenotriccus,红尾霸鹟
Terenura,纹顶蚁鹩
Teretistris,黄头灰森莺
Terpsiphone,寿带属
Territornis,白纹吸蜜鸟
Tersina,燕嘴唐纳雀
Tesia,地莺属
Tetrao,松鸡属
Tetraogallus,雪鸡属
Tetraophasis,雉鹑属
Tetrastes,花尾属
Tetrax,小鸨属
Thalassarche,黄鼻属
Thalasseus,凤头燕鸥属
Thalassoica,南极属
Thalassornis,白背鸭
Thalurania,蓝顶妍蜂鸟
Thamnistes,褐蚁属
Thamnolaea,桂红属
Thamnomanes,灰喉属
Thamnophilus,领蚁属
Thamnornis,绿马岛莺
Thaumasius,秘鲁蜂鸟
Thaumastura,矛尾蜂鸟
Thectocercus,蓝冠属
Theristicus,铅色属
Thescelocichla,沼泽属
Thinocorus,灰胸属
Thlypopsis,黄头灰背雀
Thraupis,灰蓝裸鼻雀
Threnetes,斑尾髭喉蜂鸟
Threskiornis,白鹮属
Thripadectes,纯色树猎雀
Thripophaga,斑针尾雀
Thryomanes,比氏苇鹪
Thryophilus,斑苇鹪
Thryorchilus,高山鹪
Thryothorus,卡罗苇鹪
Tiaris,黄脸草雀
Tichodroma,旋壁雀属
Tickellia,宽嘴鶲莺属
Tigriornis,白冠虎鹭
Tigrisoma,栗虎鹭
Tilmatura,火尾蜂鸟
Timalia,鹛属
Timeliopsis,黄喉直嘴吸蜜鸟
Tinamotis,山䳍属
Tinamus,䳍属
Tityra,黑顶蒂泰霸鹟
Tmetothylacus,金鹨
Tockus,坦桑红嘴犀鸟
Todiramphus,蓝黑属
Todirostrum,斑哑霸鹟
Todus,杂色属
Tolmomyias,黄绿霸鹟
Topaza,赤叉尾蜂鸟
Torgos,皱脸属
Torreornis,萨帕属
Touit,淡紫属
Toxorhamphus,黄腹弯嘴吸蜜鸟
Toxostoma,褐弯嘴嘲鸫
Trachylaemus,西黄嘴拟啄木鸟
Trachyphonus,南非拟啄木鸟
Tragopan,角雉属
Traversia,斯蒂芬岛异鹩
Tregellasia,淡黄歌鸲鹟
Treron,绿鸠属
Tribonyx,黑尾属
Trichodere,白纹岩吸蜜鸟
Trichoglossus,紫红属
Tricholaema,丝胸拟啄木鸟
Tricholestes,丝背属
Trichothraupis,黑脸唐拉格雀
Triclaria,蓝腹属
Trigonoceps,白头属
Tringa,鹬属
Trochalopteron,纯色噪鹛
Trochilus,红嘴长尾蜂鸟
Trochocercus,非洲凤头鹟
Troglodytes,鹪鹩属
Trogon,花尾属
Tropicoperdix,绿脚属
Trugon,厚嘴地鸠
Tumbezia,通贝斯唧霸鹟
Tunchiornis,褐顶绿莺雀
Turacoena,白脸蕉鸠
Turdinus,大鹪鹛
Turdoides,刺鸫鹛
Turdus,鸫属
Turnagra,北岛鸫
Turnix,三趾鹑属
Turtur,绿点森鸠
Tychaedon,栗腹属
Tylas,泰拉属
Tympanuchus,尖尾属
Tyranneutes,侏霸娇鹟
Tyranniscus,黑顶小霸鹟
Tyrannopsis,黄白喉霸鹟
Tyrannulus,黄顶小霸鹟
Tyrannus,雪喉王霸鹟
Tyto,草鸮属
Upucerthia,鳞喉爬地雀
Upupa,戴胜属
Uraeginthus,蓝饰雀
Uranomitra,安第斯蜂鸟
Uratelornis,长尾地三宝鸟
Uria,厚嘴崖海鸦
Urile,加州属
Urochroa,褐颊白尾蜂鸟
Urocissa,蓝鹊属
Urocolius,蓝枕鼠鸟
Urocynchramus,朱鹀属
Urodynamis,长尾属
Uroglaux,丛鹰
Urolais,绿长尾莺
Uromyias,敏雀
Uropelia,长尾地鸠
Uropsalis,小燕尾夜鹰
Uropsila,白腹鹪
Urosphena,鳞头树莺
Urosticte,白尾梢蜂鸟
Urothraupis,黑背丛雀
Urotriorchis,非洲长尾鹰
Vanellus,麦鸡属
Vanga,钩嘴属
Vauriella,白眉林鹟
Veles,非洲褐夜鹰
Veniliornis,小啄木鸟
Vermivora,黑胸虫森莺
Verreauxia,非洲姬啄木鸟
Vidua,靛蓝维达雀
Vini,米氏属
Vireo,金莺雀
Vireolanius,栗胁鵙雀
Viridonia,大颚雀
Volatinia,蓝黑属
Vosea,山寻蜜鸟
Vultur,安第属
Wetmorethraupis,橙喉唐纳雀
Willisornis,鳞背蚁鸟
Xanthocephalus,黄头黑鹂
Xanthomixis,短嘴属
Xanthopsar,橙头黑鹂
Xanthotis,斑吸蜜鸟
Xema,叉尾属
Xenerpestes,双斑灰尾雀
Xenicus,丛异鹩
Xenocopsychus,穴䳭属
Xenodacnis,纹锥嘴雀
Xenoglaux,长须属
Xenoligea,白翅地唐纳雀
Xenoperdix,坦桑属
Xenopipo,橄榄绿娇鹟
Xenopirostris,拉氏属
Xenops,细嘴翘嘴雀
Xenopsaris,白枕霸鹟
Xenornis,点胸属
Xenospingus,细嘴雀
Xenospiza,异雀
Xenotriccus,带霸鹟
Xenus,翘嘴鹬属
Xiphidiopicus,古巴绿啄木鸟
Xiphocolaptes,强嘴䴕雀
Xipholena,白翅紫伞鸟
Xiphorhynchus,纵纹䴕雀
Xolmis,白腰蒙霸鹟
Yuhina,凤鹛属
Yungipicus,坦氏啄木鸟
Zanclostomus,红嘴属
Zanda,黑凤属
Zapornia,黑苦恶鸟
Zaratornis,白颊伞鸟
Zavattariornis,灰丛鸦
Zebrilus,波斑鹭
Zeledonia,冠鹩森莺
Zenaida,哀鸽属
Zentrygon,卡氏鹑鸠
Zimmerius,稚小霸鹟
Zonerodius,林鳽属
Zonibyx,棕胸属
Zonotrichia,红领属
Zoonavena,马岛针尾雨燕
Zoothera,地鸫属
Zosterops,绣眼鸟属
Zosterornis,巴拉望穗鹛
